SeaQuestions_1 {什么叫做穿过前桅横帆孔洞，并通过支索上专用滑轮的一组绳索？}
SeaQuestions_2 {缆绳}
SeaQuestions_3 {在海上很难保持食物新鲜，但只要保持干燥，这种饼干可以保存多年。}
SeaQuestions_4 {硬饼}
SeaQuestions_5 {用于清理炮管火药残渣的、装在木杆上的圆柱形刷子叫什么？}
SeaQuestions_6 {清洁杆}
SeaQuestions_7 {船体水线以上的加固外板条叫什么名字？}
SeaQuestions_8 {护舷条}
SeaQuestions_9 {你知道用来把桁杆或斜桁固定在主桅或上桅上的那段包皮绳叫什么吗？}
SeaQuestions_10 {Parral}
SeaQuestions_11 {用细绳或引缆把两根绳索绑在一起，这叫什么？}
SeaQuestions_12 {缆绳绑扎}
SeaQuestions_13 {帆船船首的横向舱壁叫什么？}
SeaQuestions_14 {艏楼}
SeaQuestions_15 {你知道船上用于支撑甲板、连接两侧肋骨、并赋予船体横向强度的横梁叫什么吗？}
SeaQuestions_16 {横梁}
SeaQuestions_17 {那种有两排桨的古代桨帆战船叫什么名字？}
SeaQuestions_18 {双桨战船}
SeaQuestions_19 {船甲板上用来固定绳索的木制柱叫什么？}
SeaQuestions_20 {系缆柱}
SeaQuestions_21 {船首斜桅上安装横帆的小桅叫什么？}
SeaQuestions_22 {前桅中桅}
SeaQuestions_23 {请说出固定在艏斜桅下方的帆的名称。}
SeaQuestions_24 {盲帆}
SeaQuestions_25 {你知道那种只在一端固定的横向桅杆叫什么吗？我给你个提示：它们用来把帆伸到船舷外、分开索具、还可以悬挂小艇。}
SeaQuestions_26 {舷炮}
SeaQuestions_27 {告诉我，顶桅上延伸出去的那根桅杆叫什么？}
SeaQuestions_28 {上桅}
SeaQuestions_29 {你称用于在水平面上转动桅杆的活动索具叫什么？}
SeaQuestions_30 {斜桁}
SeaQuestions_31 {请问，用来起锚和吊货的那个带有水平轴的装置叫什么？}
SeaQuestions_32 {绞盘}
SeaQuestions_33 {当你发射舰炮时，会有很大的后坐力。用来缓冲后坐的那根粗绳叫什么？}
SeaQuestions_34 {炮闩}
SeaQuestions_35 {请说出直接系在主帆上的附加帆的名称。}
SeaQuestions_36 {Bonnet}
SeaQuestions_37 {当船只顶风航行时，用来拉住方帆后缘朝向船头的那根绳索叫什么？}
SeaQuestions_38 {缭绳}
SeaQuestions_39 {告诉我，你们怎么称呼从下往上数第三块横帆——就是升挂在中桅顶帆桁和上桅横帆桁之间的那块？}
SeaQuestions_40 {上桅帆}
SeaQuestions_41 {标准索具中那些加固桅杆、固定在两侧的粗绳叫什么？}
SeaQuestions_42 {横桅索}
SeaQuestions_43 {告诉我，固定艏斜桅与船首的那根缆绳叫什么？}
SeaQuestions_44 {支索}
